Item,Closed,Pending,Resolved,Assigned,WIP,Total
SIM Swap Sensitive Validation Successful,1,0,0,0,0,1
Pedido de Extrato,1,0,0,0,0,1
Actualização da App,1,0,0,0,0,1
Credelec - Editar Nome,1,0,0,0,0,1
Cannot send SMS to Tmcel,1,0,0,0,0,1
Recarga para Dados,1,0,0,0,0,1
Vicinity Check - Deposit,1,0,0,0,0,1
Prepaid form submitted,1,0,0,0,0,1
FIPAG - Pagamento nao reconhecido,1,0,0,0,0,1
Vencido e Valor Não Recebido,1,0,0,0,0,1
Main Account – Mwana,1,0,0,0,0,1
M-Pesa Topup,1,0,0,0,0,1
Erro da senha,1,0,0,0,0,1
Data bundles – Monthly offers,1,0,0,0,0,1
Deposit Cash Cancelled,1,0,0,0,0,1
Platina Cash Back,1,0,0,0,0,1
PoS Transation Reversal,1,0,0,0,0,1
ADEM – Contador incorrecto,1,0,0,0,0,1
Business User creation,0,0,0,1,0,1
Jackpot New Offers,1,0,0,0,0,1
Tarifas,1,0,0,0,0,1
Cancellation not performed-,0,0,0,1,0,1
Jackpot YA,1,0,0,0,0,1
Pagamento de Propinas,1,0,0,0,0,1
Tikete,0,0,0,1,0,1
Pagamento de Subscrição Startimes,1,0,0,0,0,1
Não recebeu OTP,1,0,0,0,0,1
Voicemail-Cannot Dial 121,1,0,0,0,0,1
Debit Note,0,0,0,1,0,1
Reimbursement – Status,0,0,0,1,0,1
Frases de Paquera,1,0,0,0,0,1
Authorised – Buy airtime,1,0,0,0,0,1
Contract -New line,1,0,0,0,0,1
3G calls  -  dropped calls,1,0,0,0,0,1
StarTimes Reversal Request,1,0,0,0,0,1
Custo de Cancelamento 30 dias,1,0,0,0,0,1
Transfer from float account to M-Pesa,1,0,0,0,0,1
Amount not received at STD Bank Account,1,0,0,0,0,1
4G - Incompatible SIM,0,0,0,1,0,1
Paga Facil Balance,1,0,0,0,0,1
Billing-,1,0,0,0,0,1
Recharge Information Roaming,1,0,0,0,0,1
Plano Empresa,1,0,0,0,0,1
CUG Service Request,0,0,0,1,0,1
Paga Facil Transaction Authorized,1,0,0,0,0,1
Cupido – Ligados ao mês do amor,1,0,0,0,0,1
Hungama - Pacote diário,1,0,0,0,0,1
Cannot use *170#,1,0,0,0,0,1
Credit Notes,0,0,0,1,0,1
Callback Service - Not Available,1,0,0,0,0,1
Cultura Geral,1,0,0,0,0,1
Enquiry,1,0,0,0,0,1
Voicemail-Reset PIN,1,0,0,0,0,1
System failure-RMS,1,0,0,0,0,1
Mwana - Pacote diário,1,0,0,0,0,1
Registration Status 84441 Failed,1,0,0,0,0,1
Falha nas ofertas,1,0,0,0,0,1
Rejected registrations - New submission,1,0,0,0,0,1
Unlock Password,0,0,0,1,0,1
Anedotas,1,0,0,0,0,1
TerraPay - Amount not received,1,0,0,0,0,1
Deposit Cash Declined,1,0,0,0,0,1
Renewal/ Migration Upgrade-,0,0,0,1,0,1
Declined Transaction from E-mola to M-Pesa,1,0,0,0,0,1
Automatic Debit not registered,1,0,0,0,0,1
Paga Facil Float Transfer,1,0,0,0,0,1
Ofertas TodaHora-Mensal,1,0,0,0,0,1
